Month,data science: (Worldwide),machine learning: (Worldwide)
2004-01,9,13
2004-02,9,22
2004-03,7,16
2004-04,1,17
2004-05,7,22
2004-06,6,16
2004-07,6,28
2004-08,7,12
2004-09,5,22
2004-10,5,18
2004-11,8,17
2004-12,8,15
2005-01,4,12
2005-02,6,17
2005-03,7,12
2005-04,9,11
2005-05,5,12
2005-06,5,18
2005-07,6,9
2005-08,6,10
2005-09,10,15
2005-10,6,10
2005-11,4,16
2005-12,4,9
2006-01,3,12
2006-02,3,9
2006-03,5,14
2006-04,4,12
2006-05,6,11
2006-06,5,11
2006-07,6,12
2006-08,3,11
2006-09,6,10
2006-10,3,11
2006-11,5,10
2006-12,3,13
2007-01,5,11
2007-02,4,10
2007-03,3,12
2007-04,6,10
2007-05,4,11
2007-06,3,8
2007-07,3,8
2007-08,5,7
2007-09,4,10
2007-10,4,11
2007-11,6,12
2007-12,3,9
2008-01,5,7
2008-02,5,7
2008-03,4,9
2008-04,4,9
2008-05,4,8
2008-06,4,10
2008-07,4,6
2008-08,4,7
2008-09,4,9
2008-10,4,9
2008-11,5,9
2008-12,3,9
2009-01,4,8
2009-02,3,7
2009-03,4,9
2009-04,4,9
2009-05,3,9
2009-06,3,6
2009-07,3,7
2009-08,4,7
2009-09,4,9
2009-10,5,8
2009-11,3,10
2009-12,4,7
2010-01,6,7
2010-02,3,8
2010-03,4,8
2010-04,4,10
2010-05,3,7
2010-06,4,8
2010-07,4,7
2010-08,3,9
2010-09,4,8
2010-10,4,8
2010-11,4,9
2010-12,4,8
2011-01,5,8
2011-02,4,9
2011-03,4,8
2011-04,3,9
2011-05,4,9
2011-06,4,7
2011-07,4,7
2011-08,4,8
2011-09,5,9
2011-10,4,12
2011-11,4,13
2011-12,4,9
2012-01,5,9
2012-02,5,9
2012-03,4,11
2012-04,4,10
2012-05,4,11
2012-06,4,9
2012-07,4,10
2012-08,4,10
2012-09,7,13
2012-10,5,12
2012-11,5,12
2012-12,6,10
2013-01,5,11
2013-02,6,11
2013-03,5,11
2013-04,6,12
2013-05,6,11
2013-06,5,10
2013-07,6,10
2013-08,6,11
2013-09,8,13
2013-10,7,15
2013-11,7,15
2013-12,7,14
2014-01,8,12
2014-02,8,13
2014-03,8,15
2014-04,8,16
2014-05,8,15
2014-06,8,14
2014-07,8,15
2014-08,11,15
2014-09,12,17
2014-10,12,17
2014-11,10,17
2014-12,10,17
2015-01,12,19
2015-02,12,20
2015-03,14,21
2015-04,14,23
2015-05,14,22
2015-06,12,22
2015-07,14,22
2015-08,14,23
2015-09,17,25
2015-10,16,27
2015-11,16,29
2015-12,15,28
2016-01,19,25
2016-02,17,30
2016-03,17,32
2016-04,17,32
2016-05,19,33
2016-06,18,34
2016-07,19,29
2016-08,20,31
2016-09,23,36
2016-10,22,42
2016-11,24,42
2016-12,23,44
2017-01,28,46
2017-02,28,51
2017-03,30,58
2017-04,30,58
2017-05,31,62
2017-06,29,65
2017-07,28,59
2017-08,31,63
2017-09,33,66
2017-10,37,71
2017-11,36,76
2017-12,33,72
2018-01,39,73
2018-02,40,75
2018-03,39,81
2018-04,40,79
2018-05,43,78
2018-06,39,80
2018-07,40,75
2018-08,44,79
2018-09,46,84
2018-10,48,87
2018-11,45,83
2018-12,43,76
2019-01,51,84
2019-02,54,93
2019-03,51,87
2019-04,54,89
2019-05,51,86
2019-06,55,86
2019-07,56,88
2019-08,56,85
2019-09,64,96
2019-10,60,92
2019-11,63,93
2019-12,57,86
2020-01,66,93
2020-02,70,100
2020-03,56,82
2020-04,58,88
2020-05,58,86
2020-06,61,86
2020-07,66,87
2020-08,66,86
2020-09,70,87
2020-10,59,78
2020-11,53,72
2020-12,52,71
2021-01,54,68
2021-02,56,73
2021-03,57,75
2021-04,56,76
2021-05,57,75
2021-06,61,80
2021-07,57,77
2021-08,60,72
2021-09,64,78
2021-10,55,61
2021-11,52,60
2021-12,54,64
