Bill;Start;End;AverageMargin
Separate immigrant children/parents (2018);66;69;-39
GOP Health Care Bill (2017);47;57;-33
GOP Tax Reform Bill (2017);58;65;-19
Clinton Health Care Plan (1993);30;33;-8
TARP (Bank Bailout) (2008);73;79;-6
Affordable Care Act (2009);1;7;-3
Ban Gay Marriage (2006);14;15;-3
American Clean Energy and Security Act (2009);8;10;14
Bush Tax Cuts (2001);19;25;21
Stimulus Bill (2009);70;72;23
Dodd-Frank Financial Reform Bill (2010);40;44;28
Campaign Finance Reform (2002);26;27;32
Covid-19 Relief ($1.9 trillion) (2021);34;39;47
Assault Weapon Ban (1994);11;13;58
Clean Air Act Amendments (1990);28;29;62
Expand Minimum Wage (2007);45;46;69
Brady Bill (1993);16;18;73
