"","Bill","Year","PollingFirm","support","oppose","margin"
"1","Affordable Care Act (2009)",2009,"ABC News/Washington Post",46,48,-2
"4","Affordable Care Act (2009)",2009,"CBS News/NY Times",40,45,-5
"5","Affordable Care Act (2009)",2009,"CNN",49,49,0
"6","Affordable Care Act (2009)",2009,"Fox News",38,48,-10
"13","Affordable Care Act (2009)",2009,"NBC News",53,43,10
"15","Affordable Care Act (2009)",2009,"Pew Foundation",37,46,-9
"16","Affordable Care Act (2009)",2009,"Quinnipiac",40,47,-7
"19","American Clean Energy and Security Act (2009)",2009,"ABC News/Washington Post",52,43,9
"23","American Clean Energy and Security Act (2009)",2009,"CNN",60,37,23
"33","American Clean Energy and Security Act (2009)",2009,"Pew Foundation",50,39,11
"37","Assault Weapon Ban (1994)",1994,"ABC News/Washington Post",83,16,67
"40","Assault Weapon Ban (1994)",1994,"CBS News/NY Times",78,19,59
"46","Assault Weapon Ban (1994)",1994,"LA Times",72,24,48
"55","Ban Gay Marriage (2006)",2006,"ABC News/Washington Post",42,51,-9
"61","Ban Gay Marriage (2006)",2006,"Gallup",50,47,3
"73","Brady Bill (1993)",1993,"ABC News/Washington Post",84,15,69
"76","Brady Bill (1993)",1993,"CBS News/NY Times",85,11,74
"79","Brady Bill (1993)",1993,"Gallup",88,11,77
"91","Bush Tax Cuts (2001)",2001,"ABC News/Washington Post",58,36,22
"94","Bush Tax Cuts (2001)",2001,"CBS News/NY Times",67,31,36
"95","Bush Tax Cuts (2001)",2001,"CNN",51,40,11
"96","Bush Tax Cuts (2001)",2001,"Fox News",55,33,22
"97","Bush Tax Cuts (2001)",2001,"Gallup",56,34,22
"100","Bush Tax Cuts (2001)",2001,"LA Times",52,40,12
"103","Bush Tax Cuts (2001)",2001,"NBC News",57,32,25
"115","Campaign Finance Reform (2002)",2002,"Gallup",58,26,32
"118","Campaign Finance Reform (2002)",2002,"LA Times",57,26,31
"129","Clean Air Act Amendments (1990)",1990,"Associated Press",77,16,61
"133","Clean Air Act Amendments (1990)",1990,"Gallup",78,15,63
"147","Clinton Health Care Plan (1993)",1993,"Associated Press",33,51,-18
"149","Clinton Health Care Plan (1993)",1993,"CNN",42,45,-3
"151","Clinton Health Care Plan (1993)",1993,"Gallup",44,49,-5
"157","Clinton Health Care Plan (1993)",1993,"NBC News",41,48,-7
"166","Covid-19 Relief ($1.9 trillion) (2021)",2021,"CBS News/NY Times",79,20,59
"173","Covid-19 Relief ($1.9 trillion) (2021)",2021,"Monmouth",62,34,28
"174","Covid-19 Relief ($1.9 trillion) (2021)",2021,"Morning Consult",76,17,59
